,기사제목,분류
2405,"아이폰, 중 토종업체에 밀려 판매 24% 급감 [송경재의 새벽증시]",경제
2407,"""여자가 머리가 짧네""..무차별 폭행한 20대男 ""만취해 기억안나"" 선처 호소했지만",사회
2409,"성일종, 인재육성 예로 '이토 히로부미' 언급…野 ""제 정신이냐""",정치
2411,"""자의에 의한 휴학 아니다"" 다른 생각 의대생 목소리 나왔다",사회
2413,"""김신영 돌려내라"" 전국노래자랑 MC 교체…시청자들 뿔났다",사회
2415,"""아직도 종이컵에 음료 드세요?""..뇌세포에 끼치는 충격적 연구 결과 나왔다 [헬스톡]",생활
2417,‘애플 규제 폭탄-구글 AI 오류’..매그니피센트7 주가 향방은?,경제
2419,"""내 차 필요없다"" 2030대, '마이카 시대' 저문다 [FN 모빌리티]",경제
2421,"""탕후루에 젤리, 사탕.."" 아이들 구강건강 지키려면?",IT
2423,아파트 당첨 받으려 13만명 '우르르'...올 봄 대단지 22곳 분양 나선다,경제
2425,"""대한민국 1권력자 김건희 여사와 1대1 토론 제안한다""는 정청래 속내",정치
2427,"싱가포르 국부펀드 테마섹, 오픈AI와 투자 협의",경제
2429,"국제유가, 하락 지속...중 5% 성장 목표·OPEC+ 감산연장에 시큰둥",경제
2431,"금 가격, 사상최고...미 금리인하 기대감, 중 수요 급증",경제
2433,"비트코인, 사상최고...6만9000달러 돌파",경제
2435,"글루와, 나이지리아의 CBDC 파트너로 선정",IT
2437,'북핵 협상' 평화교섭본부 간판 내린다,정치
2438,김영삼 前대통령 부인 손명순 여사 별세,사회
2440,"尹, 손명순 여사 별세에 ""YS 정치적 동반자..기억할 것""",정치
2442,음주운전·폭행 등 잇단 경찰 비위에 경찰청장 '특별경보' 발령,사회
2444,외교부도 경제 집중… 수출·수주 지원,정치
2445,올해 ‘경제외교부’로 거듭난다,정치
2446,"[fn마켓워치]그래비티운용-안젤로고든, 2282억에 명동 티마크그랜드호텔 인수",경제
2448,올해 ‘경제외교부’ 거듭난다..대형수주 지원·공급망 안정화,정치
2450,‘김영삼 전 대통령 부인’ 손명순 여사 향년 95세로 별세,정치
2452,[fn마켓워치]5성급 호텔 '콘래드 서울' 우협 ARA 유력,경제
2454,"'억대 뒷돈' KIA 장정석 前단장, 김종국 前감독 재판행",사회
2456,"'전공의 행동지침' 글 작성자는 의사였다...경찰, ""곧 소환 조사""",사회
2458,"""독거노인 위한 기능 추가해달라""…이재용, 반려로봇 '불리' 시연 점검",경제
2460,대형마트 5월부터 일요일에 열고 평일에 쉰다,사회
2461,[인사] TV조선 外,사회
2462,"강호동 농협중앙회장, 국립현충원 참배로 임기 첫발",경제
2464,"이창용 한은 총재, BIS 총재회의 참석",경제
2466,"안덕근 장관 ""원전은 우리 경제 버팀목""",경제
2468,"[fn이사람] ""착한투자 철학으로 가치·수익 모두 잡을것""",사회
2470,"블랙야크강태선장학재단, 스포츠클라이밍 인재 양성",생활
2472,"수출입은행, 美 에너지부와 친환경 산업분야 ‘맞손’",경제
2474,"생명보험사회공헌위원회, 금융인재 24명에 장학금",경제
2476,"김병주 회장, 美 하버포드대학 이사회 의장 선임",경제
2478,'매둘기' 파월에 고개든 3000피 낙관론,경제
2480,"""인천 숙원 경인고속道 지하화 2027년 첫삽"" [해운·항공·물류 전폭 지원]",정치
2482,간호사가 의료공백 채운다... 심폐소생술·약물투여 허용 [의료파업 '엄단' 나선 정부],생활
2483,'집단사직 교사 혐의'의협 줄소환… '복귀 vs 투쟁' 갈리는 전공의들 [의료파업 '엄단' 나선 정부],사회
2484,총선 전까지 의대 배정 마무리… 전담 위원회 정보 비공개 [의료파업 '엄단' 나선 정부],사회
2486,마이크론 간 하이닉스 연구원... 커지는 K반도체 기술유출 우려,경제
2488,GTX-B 2030년 개통… 인천 송도∼여의도 23분 [해운·항공·물류 전폭 지원],경제
2490,"이정숙 전 삼성증권 준법감시인·김성진 미래에셋 고문, 국민銀 신임 사외이사로 추천",경제
2492,"""10년간 62만명 출생아 늘었다""... 조세硏, 현금성 지원 효과 밝혀",경제
2493,"""사과·대파 등 13개 품목에 204억 투입 납품단가 인하""",경제
2495,"5개 은행 만난 최상목, 외환시장 개선 당부",경제
2497,"수원 간 한동훈 ""지자체 안끼고 중앙정부가 직접 지원""",정치
2499,"""양평고속도로는 국정농단 사례""... 이재명, 맞상대 원희룡 때리기",정치
2501,"與, 비례 당선권에 인요한 등 호남 출신 5명 배치 추진",정치
2502,"민주 탈당파, 이낙연과 민주연대 결성… 호남·수도권 공략",정치
2504,"개혁신당, 영등포갑에 허은아 공천…'보수 적자론' 전략",정치
2505,[속보] 김영삼 전 대통령 부인 손명순 여사 별세,사회
2507,[속보]김영삼 전 대통령 부인 손명순 여사 별세,정치
2509,"남현희 고발인, 수사관 교체 요청…""신뢰 저버려""",사회
2511,공무원 또 극단적 선택… 악성민원에 신음하는 공직사회 [현장르포],사회
2513,SG發 주가폭락 가담 피의자 41명 추가 기소,사회
2514,檢 '울산시장 선거개입' 재수사 돌입,사회
2515,"""개인 회계사 고용·산재보험 사무대행 금지는 합헌""",사회
2516,안압 정상이라도 안심 못하는 '녹내장'… 정밀진단 후 제때 치료 받아야,생활
2518,눈 맑게 해주고 고혈압·동맥경화에 좋은 당근… 채 썰어 김치처럼 먹으면 편해요 [한의사 曰 건강꿀팁],생활
2520,"[fn마켓워치]이지스운용 대주주 조갑주 ""매각 추가진행 안한다""",경제
2522,댕댕이 건강검진부터 신원확인까지… 앱 하나로 끝!,생활
2524,"세상에서 가장 간단한 건강법 ""오늘도 맨발로 흙길 나섭니다"" [책을 읽읍시다]",생활
2526,"법원, 'YTN 최대주주' 변경 처분 집행정지 신청 기각",사회
2528,"13년간 막힌 GTX-B, 尹 선언 뒤 1년여만에 착공됐다",정치
2530,용산 한 채에 180억 신고가... 거래는 있는데 등기가 없다?,경제
2532,'중도금 무이자'에 다 갖춘 평촌 생활권 누린다,경제
2534,"김포 여성 공무원, 시의원에게 성희롱 발언 공식 사과 요구",사회
2536,안산 고잔연립9 '포레나' 브랜드 단지로 상륙,경제
2538,SH 공공임대 주거비 1조 경감 효과,경제
2539,"삼성물산 래미안, 獨 iF 디자인상도 접수",경제
2541,평택 화양지구에 800가구… 3.3㎡당 1300만원대,경제
2543,대전 성남1 재개발 '우미린 뉴시티' 776가구 공급,경제
2545,"[fn마켓워치]국민연금, 조현준 효성 회장 사내이사 선임에 반대",경제
2547,"농협금융그룹, 금감원 검사 받는다...지배구조·내부통제 '고질적 문제' 점검",경제
2549,국내 시장 시원찮네… 해외로 눈 돌리는 K게임,IT
2550,SKT ‘퀀텀 얼라이언스’ 설립…  양자 시장 공략,IT
2551,"닻 올리는 정신아號, 네이버는 이사진 7인 체제로",IT
2553,"""김포·수서 간 UAM 띄워보니… 하루 최대 16대 운영 최적""",IT
2555,"자율주행 AI, 더 똑똑해진다… 모자이크 없애 예측 성능 제고",경제
2557,'안보 위협'내세워 對中반도체 통제에 동맹국 끌어들이는 美,경제
2559,후티반군 공격에 민간인 첫 사망,경제
2561,"11개 은행장들, ELS 배상안 발표 일주일 뒤 이복현 만난다",경제
2562,"우리은행 ""불완전판매 PB에 원 스트라이크 아웃제""",경제
2564,"한화손보 ""2030 여성 트렌드는 ‘추구미’""",경제
2565,"산은, 캄보디아에 1억달러 녹색대출 실행",경제
2566,‘한화생명 The H 건강보험’ 누적판매 10만건 돌파,경제
2567,"JB금융, 베트남 핀테크 ‘인피나’와 전략적 투자계약",경제
2569,"머리 맞댄 전국 법원장들...""판사정원법 개정안 조속 처리해야""",사회
2571,국민연금 투자사 ‘쥐꼬리 배당’ 탈피 분주,경제
2572,코스피200 80% 외국인 지분율 증가,경제
2574,천연가스 선물 ETN 줄줄이 조기청산 위기,경제
2576,"열흘간 2조원 팔아치운 기관, 이 종목들은 ‘묻지마 순매수’",경제
2578,"하나證, 1445억 ESG 연계채권 선도거래 체결",경제
2580,미래에셋 캐나다 ETF 자회사 ‘Global X’ 이름 단다,경제
2582,옛 한국화이자제약 사옥 재매각 추진,경제
2583,"[fn마켓워치]IMM PE, 우리·신한금융지주 일부지분 매각 성공",경제
2585,"尹, 미시간 주지사 만나 “韓 2위 투자규모, 지원 당부”",정치
2587,스마트폰 바꾸듯… 현대차 ‘전기차 보상판매’ 시작,경제
2589,車 수출 액셀 밟는데… 올 국산·수입차 내수는 7.6% ‘후진’,경제
2591,"한화오션, ‘한화해운’ 상표 특허청 등록... 김동관 ‘해양 퍼스트 무버’ 구상 구체화",경제
2592,"LG전자, 소상공인 위한 온라인 ‘사업자몰’ 오픈",경제
2594,"최주선 삼성D 사장 ""韓디스플레이 2027년 1위 탈환""",경제
2596,"신한은행, 새봄맞이 창덕궁 청소...'임원진 봉사활동'",경제
2598,"최윤 OK금융그룹 회장, 한일경제협회 부회장 선임",경제
2600,현대중공업 마닐라에 특수선 사무소,경제
2601,"가스터빈 성공 힘입은 두산에너빌리티 ""수소터빈도 선도""",경제
2603,"구자은 LS 회장 ""그룹 시너지 창출해야""",경제
2605,현대케미칼·CJ제일제당 손잡고 친환경 플라스틱 1만2000t 생산,경제
2606,하남을 경선에 김도식·이창근… 전 서울시 동료 격돌,정치
2607,"""의료사태는 재난이다""… 대형병원에 재난기금 투입 첫사례 [무너지는 지방의료 현장]",사회
2609,"인사혁신처, 주요보직 87%가 여성 ‘정부부처 1위’",정치
2610,"""서울 ‘약자와의 동행’은 모두를 위한 정책"" [서울을 움직이는 사람들]",사회
2612,CJ온스타일이 만든 웹드라마 '눈떠보니 라떼' TV·OTT로 본다,경제
2614,마라에 진심인 팔도… 마라왕비빔면 내놔,경제
2616,홍이장군 핫딜 떴다… 정관장 봄맞이 할인전,경제
2617,요즘 대세 영패션 '마르디 메크르디' 키즈매장도 문연다,경제
2619,대상 기능성 식품브랜드 론칭... '피키타카'초콜릿 5종 선보여,경제
2621,佛 가정식'치킨스튜 꼬꼬뱅'간편식으로,경제
2623,고물가 시대엔 '300초 스파르타 쇼핑'… 롯데홈쇼핑 대박,경제
2625,액셀러레이터·초기투자기관 '닮은꼴' 두 협회 통합 나선다,경제
2626,"LX하우시스, 이태원에 '트렌드십' 체험형 팝업 디자인 전시장 마련",경제
2628,조연에서 주연으로… 소부장 기업들 '인터배터리 2024' 열전,경제
2630,"檢, '운전자 바꿔치기' 가수 이루 항소심…징역 1년 구형",사회
2632,"""난연 페인트 수십년 노하우, 배터리 소재 전반에 접목""",경제
2634,"노르마, MWC 2024 참가 계기로 글로벌 협력 본격화",IT
2636,"은행장들, ELS 배상안 일주일 후 이복현 만난다...'매트릭스형' 배상안에 과징금 고심(종합)",경제
2638,"CJ제일제당, 국제 인증 받은 대두유 생산... HD현대케미칼과 친환경 플라스틱 만든다",경제
2640,'검정고무신' 저작권 유족품으로...항소심 판단은 어떨까,사회
2642,2조원 매도한 기관이 '묻지마 매수'?...조용히 쓸어담는 종목들,경제
2644,"코스피200 종목 80% 외국인 지분율 증가...""실적주·저PBR주 집중 매집""",경제
2646,"""이러다 찍힐라""..국민연금 투자사, '쥐꼬리 배당' 탈피 분주",경제
2648,서영교 의원 의정활동 방해한 60대 남성...구속 기소,사회
2650,'GTX-B 착공'...수도권 광역급행철도 시대 실현,사회
2652,"의협 간부, 8일 경찰 재출석…전공의 내부 갈등 거세",사회
2654,"구리시-서울시, 편입 지속 추진 입장 재차 확인",사회
2656,"전남도, 영광과 장성 잇는 깃재터널 개통",사회
2658,"김상태·권희백 대표, 금투협 비상근부회장 선임",경제
2660,"교통안전공단, GTX-A 수서~동탄 철도이용자 개통점검",경제
2662,"정승연 후보, 이재명 대표 검찰 고소 “총선용 친일몰이”[2024 총선]",정치
2664,"""구분 못하고 얘기말라"" 용산, 野 '925조원' 공세 일축",정치
2666,"예보, 연내 차등보험료율제도 개선방안 마련..평가등급 확대",경제
2668,"부산지방조달청장, 친환경 철근 기업 KCMT 현장 방문",경제
2670,"친문 탈당파, 이낙연 신당과 손잡는다..호남·수도권 공략[2024 총선]",정치
2672,"공군, 12~14일 심야 시간 전투훈련 ""주민들 놀라지 마세요""",정치
2674,"한동훈 '파란성' 수원 찾아 탈환 작전 ""중앙정부 직접 지원 법안 발의"" [2024 총선]",정치
2676,"[공시]효성화학 ""특수가스 사업부 예비입찰 진행""",경제
2677,"與, 남은 국민추천제와 비례 공천서 '감동 공천' 마무리할까[2024 총선]",정치
2679,미래 발전의 발판이 될 '의정부도시공사' 출범,사회
2681,"한동훈, 수원서 ""진짜 반도체 벨트 국힘이 만들고 있다""[2024 총선]",정치
2683,"'자동차 보험사기 막자' 금감원, 자배원·렌터카조합과 MOU",경제
2685,"한국후지필름, 서울시와 공공예식장 지원 사업 나선다",IT
2687,韓 게임시장 5%대 성장 둔화...중동 등 글로벌로 눈돌려,IT
2689,"신리, 쇼플러스 다국어 버전으로 업그레이드",사회
2691,"[르포]김포시 공무원 극단적 선택 배경 '악성민원', 연간 4만건 넘게 발생",사회
2693,"[공시]JYP Ent., 지난해 영업익 1694억..75.4%↑",경제
2694,"'백현동 수사무마 의혹' 임정혁 혐의 부인…""이원석 총장 증인신청""",사회
2696,"기업용 SSD 시장에 부는 봄바람…삼성·SK, 합산 점유율 75% 육박",경제
2698,"'韓 소비자, 車 안산다' 내수 7.6% 줄어..국내·해외판매 양극화",경제
2700,"한국후지필름BI, '중소기업 DX 세미나' 개최",IT
2702,4월 총선전 의대정원 배정 가닥...비밀 배정위원회 논란,사회
2704,'비스포크 AI 콤보' 흥행몰이...판매량 3000대 돌파,경제
2706,5분 충전으로 300㎞ 가는 배터리 나온다,경제
2708,"""늦어도 제대로""...LG엔솔, 2030년 전고체 배터리 양산한다",경제
2710,GTX-D 노선 신설안 발표에 소비자 이목 집중된 ‘원주’,경제
2712,"[공시]한국캐피탈, 지난해 영업익 821억..7.6%↓",경제
2713,"합참의장·한미연합사령관, 오산 美공군기지, 현장지도·점검",정치
2715,"정부, '해외직구 종합대책 TF' 구성...""종합 대응 필요""",경제
2717,"민주, 서대문구갑 권지웅·김규현·성치훈 3인 경선...9일 최종 후보 선정[2024 총선]",정치
2719,개혁신당 “스포츠토토 규제 완화하고 종목 추가 추진”[2024 총선],정치
2721,"""장항준 감독, 고가 인수 의혹 무관""",사회
2723,"KISA, 중고거래 플랫폼 3사와 분쟁조정 교류 설명회 개최",IT
2725,"[속보] 민주, '청년전략특구' 서대문갑... 권지웅·김규현·성치훈 3인 경선",정치
2727,"""스마트폰 바꾸듯"" 현대차, '전기차 보상판매' 시작한다",경제
2729,'고사위기 직전' 대부업계 새 협회장은 누구? 8일 이사회서 단수 후보 선출,경제
2731,"대전·충남 전공의·전임의 이탈 지속...수술 연기·취소, 응급실 감축",사회
2732,"한국피부과학연구원, '국내 유일' 식약처 GLP 획득",경제
2733,"우리은행 ""자산관리 특화점포, 현재 6개서 올해 내로 20개 확대""",경제
2735,50개 어촌서 '어복버스' 운영…의료·생활·행정 서비스 제공,경제
2737,"신원식 국방장관 ""北, 한미연습 빌미로 도발시 '先응징 後보고' 하라""",정치
2739,"인천지역 민주당 예비후보들, ""GTX-B 착공식 행사는 총선 개입"" 주장[2024 총선]",정치
2741,우리은행 부동산랩장 “최고의 재테크는 결혼”,경제
2743,"전자랜드 통영점, 유료 회원제 매장 '랜드500'으로 재단장",경제
2745,"'3년마다 2주 유급휴가' 키즈스콜레 ""이직 방지·인재 유치에 도움""",사회
2747,'중대재해법 2년차' 사고 사망자 첫 500명대…전년比 7% 감소,사회
2749,"장애인공단 '하이키' 홍보대사 위촉 ""편견 어려움 속 능력 발휘하길""",사회
2751,"개혁신당, 영등포갑 허은아 전략 공천..이준석 사단 ‘천아용인’ 출격 채비[2024 총선]",정치
2753,"강원랜드 사회공헌재단, '2024년 소셜마켓' 셀러 모집",생활
2755,"국민 10명 중 6명 ""세금 납부액 비해 정부 혜택 낮다""",경제
2757,"송미령 장관 ""할인지원 사업에 230억 투입...사과는 모든 상품 할인""",경제
2759,울산 대표 수암한우야시장 개장.. 30% 저렴한 숯불 한우 매력,사회
2761,"공수처, '채상병 사건 수사 외압' 이종섭 전 국방장관 소환조사",사회
2763,<인사> TV조선,사회
2764,"티머니 태그리스 결제, 2년 연속 국제 대상",경제
2766,"양평 찾은 이재명, 맞상대 '원희룡' 때리며 정권심판론 부각[2024 총선]",정치
2768,"한국지역정보개발원, '디지털플랫폼 정부' 온라인 세미나 개최",사회
2770,"재난안전관리본부장, 전남지역 비상진료체계 현장 점검",정치
2772,"네이버, 총선 특별 페이지 오픈‥여론조사도 확인 가능",IT
2774,"행안부, 순천의료원 방문해 전남 비상진료체계 점검",사회
2776,"아톤, 2023년 최대실적 달성…매출 및 영업이익 각각 23%, 41.8% 성장… ‘2년 연속 배당에 자사주 매입 추진’",경제
2778,"[속보]대통령실, 野 925조 퍼주기 공격에 ""사실 왜곡""",정치
2780,"[공시]메디톡스, 지난해 영업익 173억..62.9%↓",경제
2781,"HD현대重, 필리핀에 특수선 사무소 개소...동남아 함정시장 공략",경제
2783,"SR, '2023 안전한국훈련' 대통령 표창 수상",사회
2785,<부고> 이규하씨(국민의힘 부산시당 조직차장) 부친상,사회
2786,"“굿 바이(82)"" 증권가 82학번 CEO들 세대교체",경제
2788,"HUG, 공공지원 민간임대 2만 가구 공급.. 민간제안사업 공모",경제
2790,"한동훈 ""지자체 협력 없이도 지역 직접 지원할 수 있는 법률 개정안 발의""[2024 총선]",정치
2792,"티유브이 슈드 코리아, 자립준비여성 주거 독립 기부금 전달",생활
2794,"軍병원 응급실 개방 17일째 ""민간인 이용 누적 158명""",정치
2796,"세이브더칠드런, '아동참여형 기후위기 교육' 참가 학교 모집",생활
2798,"민주당 전남도당·경북도당, 지방 소멸 극복 위한 공통공약 발표[2024 총선]",사회
2800,월드비전·배달의민족 결식아동 지원 '맞손'..10만 끼니 제공,생활
2802,"정식품, 조우종 부부와 함께 '간단요리사' TV 광고 온에어",경제
2804,"""레스토랑 간편식 잘 팔리네"" 홈플러스, 신제품 잇따라 출시",경제
2806,"롯데관광개발 ""코스타 크루즈와 9월 전세선 운항계약""",생활
2808,"CJ온스타일, 웹드라마 '눈떠보니 라떼', TV·OTT에서도 본다",경제
2810,"청소년에 속아 술 판 상인 구제한다…전북도, 심리 기준 완화",사회
2812,"밀리의서재, '상금 1000만원'..월간 밀리로드 프로젝트 진행",생활
2814,택배 과대포장 규제 시행되는데...단속은 2년간 안한다,사회
2816,"한전, 덴마크 해상풍력 배운다...에네르기넷과 기술교류 협약",경제
2818,"부산 대형마트, 일요일에 문 안닫는다…16개구군 의무휴업 평일전환",경제
2820,"LG유플러스 임직원, 밀알복지재단에 저소득 장애아동 치료비 기부",생활
2822,"5대 은행장 만난 최 부총리 ""기업 밸류업 위해 외환시장 구조개선 적극 역할해달라""",경제
2824,"렛츠런파크 부산경남, 부산시 우수납세자 표창",경제
2826,한촌설렁탕·육수당도 '데이터퓨레' 사용한다,IT
2828,"[fn마감시황]코스피, 동학개미·금투 덕..2640선 상승세",경제
2830,'한화해운' 상표 등록...김동관 '해양 퍼스트 무버' 구상 구체화,경제
2832,"김선호 국방차관, 동원훈련장 점검 ""예비군, 대한민국 지키는 또 하나의 힘""",정치
2834,"""김포공항→수서역, 하늘차 8대 운영이 최적""…LGU+, UAM 미래상 전시",IT
2836,'쓰레기 저녁에 내놓으세요'…전주시 7월부터 일몰배출제 시행,사회
2838,"교보아트스페이스, 조각가 문이삭·박석원 '접촉' 展.. 내달 30일까지",생활
2840,"조세硏 ""출산 관련 현금성 지원…10년간 62만명 출생아 증가""",경제
2842,"과천시, 반려동물 돌봄 취약가구 '의료‧돌봄 서비스' 지원",사회
2844,"컴포즈커피, 론칭 10년 만에 가맹점 2500호점 돌파",경제
2846,"엑스페릭스, 모잠비크 'AFIS' 구축 컨소시엄 참여 ""아프리카 진출 가속화""",경제
2848,"중국 1∼2월 수출액 전년 동기 대비 7.1% 증가, 회복세",경제
2850,"[fn이사람] 김영진 센터피스자산운용 대표 ""투자도 하나의 작품이 되길""",경제
2852,"검찰, 전준경 전 민주연구원 부원장 억대 금품수수 혐의 수사",사회
2854,"""우리 댕댕이도 구찌 입자""…400만원 이동가방까지 등장",경제
2856,"부산지역 대형마트, 5~7월 의무휴업 평일 전환 추진",사회
2858,"이디야, 브런치에 딱 '버터 프렌치토스트' 봄 한정 출시",경제
2860,교원 스트레스 치유한다…전북교육청 심리검사 확대 지원,사회
2862,"맘스터치, 1200만명 관광객 성지에 ‘남산서울타워점’ 오픈",경제
2864,"""성적 학대 당한 유기견 '밍키'를 도와주세요""..충격 사연에 '경악'",사회
2866,"의협 비대위 ""PA 간호사·비대면 진료 확대, 불법·저질 의료환경 조성할 것""",생활
2868,"이낙연,  민주연대로 당명 변경에... ""유권자, 민주 용어 더 익숙해""[2024 총선]",정치
2870,새만금 글로벌 식품허브 조성…관계기관 협력,사회
2872,"만취 뺑소니범, 끝까지 추격한 시민..'현직경찰 교통팀장' 붙잡았다",사회
2874,'용문~홍천 광역철도' 기재부 예타 조사 착수,사회
2876,"""中과 격차 단 1년""...최주선 ""K-디스플레이, 2027년 글로벌 1위 탈환""",경제
2878,"""비트코인 지금 사야 한다""..올해 '4억' 돌파 전망한 '부자아빠'",경제
2880,"롯데백화점 대전점, 봄 맞이 골프대전",경제
2882,초·중·고 참고서도 G마켓이 싸다...'방과후 학습지' 기획전,경제
2884,"서울우유, 그릭요거트 브랜드 '요즘(YOZM)'과 손잡았다",경제
2886,풀무원 비건 레스토랑 '플랜튜드' 용산점 오픈 1주년 맞아 봄 신메뉴 출시,경제
2888,"엔씨 'TL', 7일 라이브 방송···신규 던전 공개",IT
2890,"롯데웰푸드, 성수동에 '가나 초콜릿 하우스 시즌3' 팝업 연다",경제
2892,"팔도, 올 여름 비빔면은 '마라'와 만났다..'마라왕비빔면' 출시",경제
2894,"SPC 커피앳웍스, 봄 향기 걸맞은 원두 ‘스프링 블렌드’ 출시",경제
2896,"에치에프알 자회사, MWC24에서 이음5G 솔루션 시연 “디지털트윈·AI기술 활용”",경제
2898,"전문건설공제조합, 신임 기술교육원장에 이수진 대전지점장",경제
2900,"NHN클라우드, ‘금융 클라우드 지원 사업’ 참여",IT
2902,"KB차차차 ""포르쉐 중고차 판매 1위는 '카이엔'""",경제
2904,"금호석화 ""사외이사 후보 3인 공개""",경제
2906,"민주, 경기 남동부 종합 반도체 메가시티 조성...투자세액공제도 일몰 연장[2024 총선]",정치
2908,"한화생명 The H 건강보험, 누적 10만건 돌파",경제
2910,"황병우 DGB금융 차기회장, 핀테크 성지 찾았다...‘핀테크 상생은행’ 박차",경제
2912,"수협은행, 천만 낚시인 위한 신용카드 ‘락씨(樂SEA) 카드’ 출시",경제
2914,"[fn마켓워치]트러스톤 ""LF 자사주 매입, 주주가치 제고 진지한 결정""",경제
2916,"조달청, 차세대 나라장터 시스템 구축 현황 점검",사회
2918,"한은, 서울대 경영대와 MOU 체결...""ESG 학술·교육 협력 강화""",경제
2920,"강호동 농협중앙회장 ""새로운 대한민국 농협 만들 것""",경제
2922,서울패션위크서 563만불 수주 상담…9.5%↑,사회
2924,"SK하이닉스, HBM 기술 유출 우려… 위협받는 K-반도체",경제
2926,"이순호 예탁원 사장 ""전자주총·공매도 개선 지원...금융시장 신뢰 높이겠다""",경제
2928,인천신항에 '완전 자동화' 컨테이너 터미널 들어선다...2027년 개장,경제
2930,제조업도 이제 AI…산업부 'AI 자율제조 플랜' 수립 착수,경제
2932,"산업장관 ""원전, 민생이자 경제 버팀목""…고리원전 점검",경제
2934,"국표원, 첨단산업 국제표준 신규 과제 공고...45억 지원",경제
2936,"전화성 AC협회장 ""AC협회·초기창업투자지관협회 통합"" 외연 확장",경제
2938,"전남도, 지역 수산물 브랜드 가치 제고 및 소비 촉진 '온 힘'",사회
2940,"파리바게뜨, 프랑스 가정식 '꼬꼬뱅' 활용 간편식 출시",경제
2942,"울산시의사회, 의대 증원 신청에 반발 울산대 총장 사퇴 요구",사회
2944,"KB증권, 해외주식 투자 아이디어 경연대회 ‘월드클래스’ 개최",경제
2946,개표 장소 활용…화산체육관 등 전주 3개 시설 휴장,사회
2948,"오프라인 거점 확대하는 무신사 스탠다드, 22일 명동점 오픈",생활
2950,"대상, 건강하게 즐기는 간편호감식 브랜드 '피키타카' 론칭",경제
2952,동원참치 케이스에 '갤럭시 버즈' 넣으면 '핵인싸',경제
2954,"""관동의 풍류를 느껴보세요""...관동별곡 테마 여행 운영",사회
2956,CU편의점 중앙아시아에서도 본다..카자흐스탄에 1호점 오픈,경제
2958,'소재혁신 신진연구자'에 재료연구원 유지성 박사,IT
2960,"강정애 보훈장관, 조계종 총무원장 예방…""보훈문화 활성화 논의""",정치
2962,"강원자치도, 전국 최초 대형병원에 재난관리기금 지원",사회
2964,"넥슨, ‘퍼스트 버서커: 카잔’ 신규 트레일러 공개",IT
2966,"서서히 진행되는 녹내장, 방치하면 실명 위험",생활
2968,서울시 출신 與 2인 '서울편입' 이슈 하남서 격돌[2024 총선],정치
2970,"""전공의 처분 법에 따라""…조규홍 복지부장관, 전북대병원 현장 점검",사회
2972,"육·해·공군 및 한미 해병대, 최정예 '스나이퍼' 겨룬다",정치
2974,"캐롯, 캐롯드라이브 & 캐롯워크 서비스 오픈",경제
2976,"강원개발공사, 건설임금·대금 체불 차단 '클린페이' 도입",사회
2978,"조달청, 기술혁신기업에 '판로·마케팅·금융·인력' 전방위 지원",사회
2980,"금투협, 베트남 증권위원회와 양해각서 체결",경제
2981,"생명보험사회공헌위원회, 금융보험 전공 대학생에게 2억 800만원 장학금 지급",경제
2983,인천 송도국제도시 출발 GTX-B 착공,사회
2985,"셀루메드, 100억 규모 3자배정 유증 납입 “바이오사업 등 시너지 총력”",경제
2987,"우리기술, 전력 기반 산업 급부상에 사상 최대 실적 쾌거",경제
2989,"한국 파이브가이즈, 美 본사로부터 5개 중 2개 어워드 수상",경제
2991,"코카-콜라, 나만의 뮤비 제작 가능한 AI 디지털 체험 프로그램 론칭",경제
2993,"카카오페이, 비버웍스와 오프라인 결제 서비스 확장 위한 협약 체결",경제
2995,서울 송파 아파트값 3주째 상승…서초는 하락세 끝,경제
2997,"전국 33개 의대 교수협 ""의대 증원 고등교육법 위반""",사회
2999,"눈 치우다 '전치 4주'로 입원했는데..경비원 ""나도 모르는 '자진 퇴사' 당해""",사회
3001,"""바이오 납사-친환경 플라스틱 선순환 협약""",경제
3003,[새책] 알아두면 쓸모 있는 심리학 상식 사전,생활
3005,[새책] 소중한 사람을 위해 우울증을 공부합니다,생활
3007,[새책] 어쩌다 편의점,생활
3009,"""삼성동에 소부장 집결"" 인터배터리 2차전지 '열전'",경제
3011,"이재명 ""양평고속도로 종점 변경, 국정농단 대표 사례""[2024 총선]",정치
3013,"""인천 송도~서울 도심 30분대"".. GTX-B 노선 2030년 개통",경제
3015,인공장기로 줄기세포를 대량으로 만든다,IT
3017,"이재명, 비명계 탈락에 ""어젯밤 놀랄 일 벌어져...위대한 국민·당원의 뜻""[2024 총선]",정치
3019,"오르비텍, '월성 3,4호기 증기발생기 전열관 가동중검사 용역' 적격심사대상자 1순위 선정",경제
3021,"""빌라 공동현관 열려있어도 무단출입하면 주거침입"" 대법",사회
3023,"소리없이 다가오는 사망률 1위 폐암, 조기발견이 중요 [weekend 헬스]",생활
3024,"이마트, 봄 과일 시즌행사...봄딸기·햇참외 30% 할인",경제
3026,총선승리 후 국정원 대공수사권 회복...  한동훈 [2024총선],정치
3028,"전남도-덴마크, 해상풍력산업 생태계 구축 협력",사회
3030,"유한킴벌리 크리넥스, KCAB 한국소비자평가 ‘최고의 브랜드 화장지 부문’ 대상 수상",경제
3032,"삼성, 사피엔반도체 지분투자·ASIC개발 상용화에 구매 기대감 '눈길'",경제
